bookURL,img,name,price,rating,stock
https://books.toscrape.com/catalogue/set-me-free_988/index.html,../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,Set Me Free,£17.46,5,
https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,Shakespeare's Sonnets,£20.66,4,
https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,
https://books.toscrape.com/catalogue/olio_984/index.html,../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,Olio,£23.88,1,
https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,It's Only the Himalayas,£45.17,2,
https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,Libertarianism for Beginners,£51.33,2,
https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,
https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,
https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,Rip it Up and Start Again,£35.02,5,
https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,
